title,author,price,rating
A Light in the Attic,Unknown,51.77,3
Tipping the Velvet,Unknown,53.74,1
Soumission,Unknown,50.1,1
Sharp Objects,Unknown,47.82,4
Sapiens: A Brief History of Humankind,Unknown,54.23,5
The Requiem Red,Unknown,22.65,1
The Dirty Little Secrets of Getting Your Dream Job,Unknown,33.34,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Unknown,17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Unknown,22.6,4
The Black Maria,Unknown,52.15,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Unknown,13.99,2
Shakespeare's Sonnets,Unknown,20.66,4
Set Me Free,Unknown,17.46,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Unknown,52.29,5
Rip it Up and Start Again,Unknown,35.02,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Unknown,57.25,3
Olio,Unknown,23.88,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Unknown,37.59,1
Libertarianism for Beginners,Unknown,51.33,2
It's Only the Himalayas,Unknown,45.17,2
In Her Wake,Unknown,12.84,1
How Music Works,Unknown,37.32,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Unknown,30.52,3
Chase Me (Paris Nights #2),Unknown,25.27,5
Black Dust,Unknown,34.53,5
Birdsong: A Story in Pictures,Unknown,54.64,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Unknown,22.5,3
Aladdin and His Wonderful Lamp,Unknown,53.13,3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Unknown,40.3,5
Wall and Piece,Unknown,44.18,4
The Four Agreements: A Practical Guide to Personal Freedom,Unknown,17.66,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Unknown,31.05,3
The Elephant Tree,Unknown,23.82,5
The Bear and the Piano,Unknown,36.89,1
Sophie's World,Unknown,15.94,5
Penny Maybe,Unknown,33.29,3
Maude (1883-1993):She Grew Up with the country,Unknown,18.02,2
"In a Dark, Dark Wood",Unknown,19.63,1
Behind Closed Doors,Unknown,52.22,4
You can't bury them all: Poems,Unknown,33.63,2
